Name,Tags,Type,Address,Website,Instagram,Image,Description
Agas & Tamar,Jewelry; Artisan; Luxury,In Person,"43 Shabazi St, Tel Aviv",https://agasandtamar.com/,,https://agasandtamar.com/wp-content/uploads/2023/06/9527-2.jpg,"A Tel Aviv jewelry institution since 1998, where a shining ruby might sit beside a rusty…"
Alef Alef,Minimalist,In Person,"9 Ashtori HaFarhi St, Tel Aviv",https://www.alefalef.co.il/,,https://www.alefalef.co.il/wp-content/uploads/2024/07/5-6-510x661.jpg,"Contemporary womenswear with a focus on quality, considered design, and the enduring app…"
Alembika,Artisan; Minimalist; Sustainable; Size Inclusive,In Person,"87 Ibn Gvirol St, Tel Aviv (+4 more)",https://alembika.co.il/,,https://alembika.co.il/cdn/shop/files/DRESS_SD905B_2_2.jpg?v=1776694897,Founded in 2005 by designer Hagar Alembik (Shenkar) and anthropologist Dr. Judy Padlon…
All At Once,Streetwear; Edgy; Minimalist,In Person,"At En Culture, 19 Lilienblum St, Tel Aviv-Yafo",https://allatonce.store/,,https://allatonce.store/cdn/shop/files/DSCF6566.png?v=1774872993&width=5000,"A Tel Aviv collective founded by Ilay Henriksen and Noam Segev in 2021, driven by family…"
Aluma,Knitwear; Artisan; Sustainable,Online only,,https://alumafashion.com/,,https://alumafashion.com/cdn/shop/files/Flower_power_cover_new_05893f2b-bc51-4e4d-a47a-08e178d348ad.png?v=1770219704&width=1200,"Beautiful colorful handmade knitwear, amazing one of a kind clothing, slow fashion at it…"
Anat Friedman,Minimalist,In Person,"6 Betzalel St, Jerusalem",https://anatfriedman.com/,,https://anatfriedman.com/cdn/shop/files/anatf_2524538.jpg?v=1759238472,"Precise, quietly elegant womenswear. Anat Friedman's designs speak in restraint, each pi…"
Andro Lomusia,Conceptual; Edgy,Online only,,https://androlomusia.com/,,https://androlomusia.com/cdn/shop/files/nicotinesmiles_back_600x600.png?v=1774880454,"Established in 2021 and rooted in personal struggle and pain, Androlomusia reflects and…"
Anjaly,Activewear; Minimalist; Unisex,In Person,"10 Mikveh Israel St, Tel Aviv",https://anjaly.com/,,https://anjaly.com/__l5e/assets-v1/6cd90dfd-89b1-4688-9792-fa010d80fdc2/c2.jpg,"Effortless unisex loungewear and activewear for women and men, from yoga mat to street…"
Artwear,Prints,In Person,"71 HaNadiv St, Herzliya",https://artwear.co.il/,,https://artwear.co.il/cdn/shop/files/9cff8e210719c9f029748e2ced34082b.png?v=1775505899&width=1200,"Wearable art through bold, original prints. Each Artwear piece turns the body into a can…"
Assaf Peleg,Luxury,In Person,"119 Dizengoff St, Tel Aviv (+1 more)",https://www.assafpelleg.com/,,https://www.assafpelleg.com/wp-content/uploads/2026/03/Untitled-577-x-1024-px-722-x-1024-px-1000-x-1500-px-30.png,"Designing for the elegant, multi-faceted woman, garments born from emotion and a deep be…"
Assemble,Streetwear; Minimalist,Online only,,https://assembleofficial.com/,,https://assembleofficial.com/cdn/shop/files/Assemble_pleated_polo_t-shirt_front_2048x2048.jpg?v=1769523893,"Contemporary streetwear with a tightly considered aesthetic, Assemble designs garments t…"
Atawear,Legacy; Streetwear,In Person,"93 Allenby St, Tel Aviv (+1 more)",https://atawear.co.il/,,https://atawear.co.il/cdn/shop/files/C186113C-4B82-46C9-A115-27D1C508644F_dfcac7bd-aece-4a00-88ff-9a23ebe507dd.jpg?v=1774117526&width=5000,"A revival of Israel's iconic ATA textile brand, first founded in 1935. The original 'Mad…"
Aviva Zilberman,Luxury,In Person,"23 Melchett St, Tel Aviv",https://avivazilberman.com/,,https://avivazilberman.com/cdn/shop/files/UntitledCapture4032_600x.jpg?v=1747938729,"A high-end ready-to-wear house founded in 2008 by Aviva Zilberman, creating a daytime wa…"
Ayala Vitkon,Jewelry; Artisan,Online only,,https://ayalavjewelry.com/,,https://ayalavjewelry.com/cdn/shop/products/il_fullxfull.365002343_ltty_b16fa1fc-dd35-4158-95e6-87bccdcedb15_1024x1024.jpg?v=1590738026,Sophisticated handmade jewelry from Ayala Vitkon's studio.
Ayoola,Minimalist,Online only,,https://ayoola.co.il/,,https://ayoola.co.il/cdn/shop/files/DSC_2682.jpg?v=1744199730&width=1800,"Ayelet's brand, specialising in designing and manufacturing bralettes for women."
BANANHOT,Swimwear; Prints,Online only,,https://bananhot.co.il/,,https://sfycdn.speedsize.com/79593a76-198a-492d-847e-c6b8f5e0b562/bananhot.co.il/cdn/shop/files/3114_3Z5A5976.jpg?v=1774183873&width=990,"High-quality swimwear with flattering, cheeky cuts and super-creative patterns."
Barbatana,Streetwear; Edgy; Prints,Online only,,https://barbatana.shop/,,https://barbatana.shop/cdn/shop/files/DSCF9840-14.jpg?v=1756055492&width=1680,"A streetwear label trading in cheeky local humor, Barbatana's tees lean on Hebrew puns…"
Bazz and Lutra,Artisan; Jewelry; Luxury,Online only,,https://bazzandlutra.com/,,https://bazzandlutra.com/cdn/shop/files/Bazz14.111367.jpg?v=1769451140&width=2048,"Handcrafted fashion, jewelry, accessories, and home decor, blending classic tradition wi…"
Bein Lebein,Artisan; Edgy; Minimalist; Natural Fabrics,Online only,,https://www.beinlebein.com/,,"https://static.wixstatic.com/media/d9dc5f_8158b674781d4d29b4e0623b67f91b7b~mv2.jpg/v1/fill/w_779,h_1059,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/BeinLeBein17_09_250660.jpg","A multidisciplinary label built around hand-screenprinted cotton, heavy-weight natural f…"
Bewear,Activewear; Minimalist,Online only,,https://bewear.co.il/,,https://bewear.co.il/cdn/shop/files/DSC07005.jpg?v=1770744956&width=2048,"A dancewear brand built around the idea that once you're a dancer, you're a dancer forev…"
Biliblond,Swimwear,In Person,"1 Yordei HaSira St, Tel Aviv Port",https://biliblond.com/,,https://biliblond.com/cdn/shop/files/arava-one-piece-white-8893831.jpg?v=1780118595&width=700,"Swimwear and beachwear with a playful spirit, designed for the Mediterranean lifestyle."
Blueberry TLV,Minimalist,Online only,,https://blueberrytlv.co.il/,,https://blueberrytlv.co.il/cdn/shop/files/WhatsAppImage2026-06-03at17.56.56.jpg?v=1780550453&width=700,"A fresh Tel Aviv label with a playful, considered approach to everyday womenswear, vibra…"
Bow M,Minimalist,Online only,,https://bow-m.com/,,https://bow-m.com/cdn/shop/files/Ruched_Dress_with_Bare_Shoulders_Cream_1.jpg?v=1726058245&width=1100,"A label working in considered, modern silhouettes, quiet pieces with a careful hand."
