Name,Website,Tags,Description,Image,Contact
Agas & Tamar,https://agasandtamar.com/,"Jewelry, Artisan, Luxury","Since 1998, a Tel Aviv jewelry institution. Pieces featured in Vogue, Cosmopolitan, and People — with collaborations spanning Sex and the City and a dedicated Donna Karan collection in New York.",https://agasandtamar.com/wp-content/uploads/2023/06/9527-2.jpg,
AKA My Culture,https://aka-online.co.il/,"Sustainable, Streetwear","A curated selection of international eco-conscious labels — DR. DENIM, THINKING MU, BAGGU — alongside the in-house brand IN BLOOM, crafting casual Israeli fashion with an environmental conscience.",https://aka-online.co.il/wp-content/uploads/2026/04/Untitled-design-37.png,
Alef Alef,https://www.alefalef.co.il/,"Artisan, Minimalist","Contemporary Israeli womenswear with a focus on quality, considered design, and the enduring appeal of the everyday.",https://www.alefalef.co.il/wp-content/uploads/2026/03/8_wo_1400_1814.jpg,
Alembika,https://alembika.co.il/,"Artisan, Minimalist",Fluid silhouettes and considered Israeli design for women who move through the world with ease and intention.,https://alembika.co.il/cdn/shop/files/TOP_RT357T_PANTS_RP351M_12.jpg?v=1773061538,
Aluma,https://alumafashion.com/,"Knitwear, Artisan, Sustainable","Former London Fashion Week designer specialising in handmade knitwear. Collections have sold at Selfridges, Harrods, and Neiman Marcus — slow fashion at its most considered.",https://alumafashion.com/cdn/shop/files/Flower_power_cover_new_05893f2b-bc51-4e4d-a47a-08e178d348ad.png?v=1770219704&width=1200,
Anat Friedman,https://anatfriedman.com/,"Artisan, Minimalist","Precise, quietly elegant Israeli womenswear. Anat Friedman's designs speak in restraint — each piece a study in deliberate simplicity.",https://anatfriedman.com/cdn/shop/files/anatf_2524538.jpg?v=1759238472,
Anjaly,https://anjaly.com/,"Activewear, Minimalist","Effortless unisex loungewear and activewear for women and men — from yoga mat to street, comfort without compromise.",https://anjaly.shop/cdn/shop/files/1184_1_be035c1c-985d-459e-83f8-44b2a92ff465.jpg?v=1700116722&width=4002,
Artwear,https://artwear.co.il/,"Prints, Artisan","Wearable art through bold, original prints. Each Artwear piece turns the body into a canvas — vivid, unapologetic Israeli design.",https://artwear.co.il/cdn/shop/files/9cff8e210719c9f029748e2ced34082b.png?v=1775505899&width=1200,
Assaf Peleg,https://www.assafpelleg.com/,"Luxury, Artisan","Designing for the elegant, multi-faceted woman — garments born from emotion and a deep belief in personal style. Assaf Peleg sees the woman before he sees the fabric.",https://www.assafpelleg.com/wp-content/uploads/2026/03/Untitled-577-x-1024-px-722-x-1024-px-1000-x-1500-px-30.png,
Atawear,https://atawear.co.il/,"Heritage, Streetwear","A revival of Israel's iconic ATA textile brand, first founded in 1935. The original 'Made in Israel' spirit — workwear heritage reimagined for contemporary street culture.",https://atawear.co.il/cdn/shop/files/C186113C-4B82-46C9-A115-27D1C508644F_dfcac7bd-aece-4a00-88ff-9a23ebe507dd.jpg?v=1774117526&width=5000,
Aviva Zilberman,https://avivazilberman.com/,"Luxury, Artisan","A high-end ready-to-wear house founded 2008. Designing for the elegance every woman possesses — a dialogue between masculine precision and feminine sensuality, laid on the body with extreme care.",https://avivazilberman.com/cdn/shop/products/The-Scent-Kit-Trial-N3-Hover-Aviva-Zilberman-Personal-Goods_600x.jpg?v=1551284983,
Belle and Sue,https://www.belleandsue.co.il/,"Sustainable, Streetwear","Israel's pioneering online fashion boutique since 2010 — curating international labels, championing local designers, and launching their own FEZ brand of considered everyday essentials.",https://www.belleandsue.co.il/cdn/shop/files/1155UntitledCapture1459.jpg?v=1761640245,
Biliblond,https://biliblond.com/,Swimwear,Israeli swimwear and beachwear with a playful spirit — designed for the Mediterranean lifestyle.,https://biliblond.com/cdn/shop/files/biliblond_stores.jpg?v=1741343201&width=600,
Bracha Baron,https://www.baroncollection.com/,"Artisan, Luxury",Contemporary Israeli womenswear with a refined aesthetic — each collection a careful conversation between structure and ease.,https://www.baroncollection.com/cdn/shop/files/4H4A1366_99c522a8-c12f-4679-a359-a7da148c7d29.jpg?v=1750246523&width=750,
Ciporkin by Dalit,https://www.ciporkin.com/,"Artisan, Minimalist, Prints","Bauhaus Tel Aviv meets Japanese aesthetics. Geometric, architectural cuts in flowing fabrics — asymmetric, monochromatic, textured. Limited seasonal editions designed by Dalit Ciporkin.",https://www.ciporkin.com/cdn/shop/files/Ciporkin_34_of_54_9ab89df1-eced-4ed4-8dd2-8cdf94510652.jpg?v=1773578257&width=1680,
Co.Co,https://collectivecollection.co.il/,Artisan,Collective Collection — a collaborative Israeli womenswear label where strong individual voices become a unified design statement.,https://collectivecollection.co.il/wp-content/uploads/2025/10/VICTORIAS26-1267766-02-CO.CO-172-349242.jpg,
Comme il Faut,https://www.comme-il-faut.com/,"Artisan, Minimalist, Prints","Original, artistic Israeli womenswear — monochromatic palettes, unexpected textures, and asymmetric construction. Comme il Faut dresses the woman who refuses the obvious.",https://comme-il-faut.com/cdn/shop/files/c_il_faut_1849_7016b057-877c-4c12-8259-b131e6480d1a.jpg?v=1773844239&width=600,
Cotton,https://cottonet.co.il/,"Sustainable, Casual","Three decades of Israeli womenswear built on natural fabrics, local production, and unwavering quality. Cotton is a synonym for fashion that respects both the woman and the planet.",https://cdn.cottonet.co.il/newsite/2026/02/365276f8-cotton6644-copy-1067x1601.jpg,
Dana Ashkenazy,https://www.danaashkenazi.com/,"Artisan, Minimalist","Easy, considered Israeli womenswear for the modern everyday — designed with an eye for proportion and a commitment to quiet confidence.",https://www.danaashkenazi.com/cdn/shop/files/FCE62873-9D9C-4823-8E61-E8D80AD799E1.png?v=1775326726&width=735,
Dalit Peer,https://dalitpeer.com/,"Artisan, Minimalist","Israeli womenswear by designer Dalit Peer — soft, considered silhouettes with a quiet, contemporary hand.",https://dalitpeer.com/cdn/shop/files/992_09a1ba2a-afa2-4194-ae4a-73f989e9337b.jpg?v=1777738688&width=720,
Dikla Levsky,https://diklalevsky.com/,"Artisan, Luxury, Prints","Printed silk scarves and high-end accessories with a painterly, editorial sensibility. Dikla Levsky makes accessories that define an entire look.",https://diklalevsky.com/cdn/shop/files/Dikla_Levsky_Printed_Plisse_Silk_Scarf_2.jpg?crop=center&height=720&v=1701244069&width=480,
Dorin Frankfurt,https://www.dorinfrankfurt.com/he,"Artisan, Minimalist",One of Israel's most recognised fashion names — Dorin Frankfurt's work blends European sophistication with a distinctly Israeli sensibility.,https://www.dorinfrankfurt.com/media/wysiwyg/SEV-55.jpg,
Dostix,https://dostix.com/,"Streetwear, Heritage","Blending modern urban life with practical, dynamic design. The Dostix brand has established international selling points across Europe, Japan, and the USA.",https://dostix.com/cdn/shop/products/IMG_20161026_152044_2048x2048.jpg?v=1623568068,
Flo by Ella Braitman,https://flobyella.com/,"Artisan, Luxury","High-quality women's fashion in limited series, with fine European fabrics. Ella Braitman trained at Moscow's Theatre Design College before studying at Shenkar — and every garment carries that depth of craft.",https://flobyella.com/cdn/shop/files/flo_18_2_26237338.jpg?v=1771836666&width=1920,
Forest,https://www.forest-tlv.com/,"Streetwear, Prints, Sustainable","Tel Aviv's green lung of fashion — drawing from forests, oceans, and outdoor culture. Original prints and considered silhouettes, produced in small editions by local manufacturers in Tel Aviv.","https://static.wixstatic.com/media/4edae6_9a97b4b5b2264a70b5dee46d0dcb3b68~mv2.jpg/v1/fill/w_498,h_748,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/4edae6_9a97b4b5b2264a70b5dee46d0dcb3b68~mv2.jpg",
Frett,https://frett.life/,"Knitwear, Sustainable, Minimalist","A designer knitwear studio: timeless design, fine natural fibres, responsible production in limited quantities. Minimalistic, effortless pieces ethically crafted in Europe.",https://frett.life/cdn/shop/files/frett16.132623-crop.jpg?v=1765380986&width=1200,
Gala,https://www.galalabel.com/,"Artisan, Minimalist","Israeli womenswear label with a refined, contemporary point of view — considered silhouettes and quietly confident essentials.","https://static.wixstatic.com/media/4ff179_943fb2098cab4c02a9e3889daec6dfe0~mv2.jpg/v1/fill/w_441,h_665,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/4ff179_943fb2098cab4c02a9e3889daec6dfe0~mv2.jpg",
Galler,https://gallerdesign.com/,"Prints, Artisan","Women's fashion with bold patterns, optimistic prints, and playful asymmetry. Galler brings colour and joy to the Israeli fashion scene.",https://gallerdesign.com/cdn/shop/products/LW_GALLER_LOOK93_1864@2x.jpg?v=1678270351,
Gertrud,https://gertrudshop.com/,"Artisan, Prints","Classy, comfortable Israeli womenswear. day to evening, casual and chic",https://gertrudshop.com/cdn/shop/files/9_mobile_561x824.png?v=1774940996,
Gon Surfing,https://houseofgon.com/,"Surf, Streetwear",Tel Aviv surf culture meets street fashion. Oversized silhouettes for women and men who live between the ocean and the city.,https://houseofgon.com/cdn/shop/files/drill-bermuda-shorts-green-1160258.jpg?v=1774514232&width=800,
Hagit Tassa,https://hagitassa.com/,"Artisan, Minimalist","Contemporary Israeli womenswear focused on denim and versatile day-to-night dressing — clean lines, confident construction.",https://hagitassa.com/cdn/shop/files/1031-hagitassa-26-03-26.jpg?v=1774601613&width=1800,
